date,open,high,low,close,volume,average,barCount
2026-02-10 12:35:00,5059.9,5059.9,5055.0,5057.3,227.0,5057.36,157
2026-02-10 12:40:00,5056.2,5062.6,5055.3,5060.9,201.0,5058.82,174
2026-02-10 12:45:00,5061.2,5064.0,5052.5,5053.2,356.0,5057.07,283
2026-02-10 12:50:00,5053.4,5054.0,5049.0,5050.0,201.0,5052.09,156
2026-02-10 12:55:00,5050.2,5052.5,5048.3,5049.7,278.0,5049.89,210
2026-02-10 13:00:00,5049.1,5051.3,5044.9,5045.4,487.0,5048.03,359
2026-02-10 13:05:00,5045.7,5045.8,5038.1,5043.9,577.0,5042.56,447
2026-02-10 13:10:00,5043.6,5044.2,5036.8,5039.6,421.0,5040.08,307
2026-02-10 13:15:00,5039.2,5041.9,5034.1,5034.6,503.0,5037.54,374
2026-02-10 13:20:00,5034.7,5036.7,5026.7,5028.5,687.0,5032.17,496
2026-02-10 13:25:00,5028.0,5033.7,5026.8,5031.4,1346.0,5030.38,1054
2026-02-10 13:30:00,5031.4,5037.5,5027.2,5032.9,658.0,5032.64,516
2026-02-10 13:35:00,5032.8,5037.7,5032.7,5036.0,227.0,5035.56,190
2026-02-10 13:40:00,5036.3,5039.2,5032.7,5038.1,311.0,5036.09,224
2026-02-10 13:45:00,5037.6,5039.9,5033.2,5034.3,256.0,5036.87,184
2026-02-10 13:50:00,5034.6,5036.4,5030.0,5030.0,196.0,5033.76,155
2026-02-10 13:55:00,5030.1,5037.8,5029.3,5036.0,192.0,5034.52,152
2026-02-10 14:00:00,5035.3,5036.3,5031.4,5033.1,203.0,5033.84,158
2026-02-10 14:05:00,5033.7,5036.0,5033.6,5034.2,140.0,5034.82,103
2026-02-10 14:10:00,5034.1,5035.7,5032.7,5035.1,146.0,5034.53,115
2026-02-10 14:15:00,5035.7,5042.2,5035.0,5041.5,306.0,5038.66,244
2026-02-10 14:20:00,5041.3,5042.8,5040.8,5041.8,220.0,5041.79,152
